step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
168,1,-101.8299,183626.08,0.03521,85.25,0.363123,0.9973,
336,2,-78.4575,170408.43,0.02050,86.25,0.179388,0.9947,
504,3,-83.5973,186000.94,0.02380,90.00,0.114228,0.9920,
672,4,-107.5505,187101.22,0.02596,88.50,0.083817,0.9894,
840,5,-82.6862,188730.80,0.00807,89.50,0.073298,0.9867,
1008,6,-101.0074,202629.00,0.01555,89.50,0.085852,0.9840,
1176,7,-103.0809,203026.80,0.01594,90.25,0.048326,0.9814,
1344,8,-97.1464,190089.14,0.01238,83.75,0.082087,0.9787,
1512,9,-84.0199,181686.77,0.02495,90.75,0.036550,0.9761,
1680,10,-81.2660,177714.35,0.03113,88.25,0.027288,0.9734,
1848,11,-91.3466,192263.87,0.02621,91.25,0.048332,0.9707,
2016,12,-80.0603,176400.49,0.01149,86.75,0.054833,0.9681,
2184,13,-80.3809,175309.30,0.02106,87.25,0.029969,0.9654,
2352,14,-93.3397,192019.36,0.03114,90.50,0.033083,0.9628,
2520,15,-85.2419,181336.04,0.02820,91.50,0.013505,0.9601,
2688,16,-94.5593,195215.13,0.02352,90.50,0.077215,0.9574,
2856,17,-76.6030,167732.11,0.06539,98.25,0.054967,0.9548,
3024,18,-78.7448,169102.53,0.03135,89.25,0.047221,0.9521,
3192,19,-79.6832,167338.35,0.01918,84.25,0.048250,0.9495,
3360,20,-78.1125,168505.81,0.01986,84.00,0.089665,0.9468,
3528,21,-81.8964,178078.80,0.02613,89.00,0.050485,0.9441,
3696,22,-79.4674,174660.55,0.02131,89.00,0.023324,0.9415,
3864,23,-79.9856,173695.67,0.02685,88.00,0.014681,0.9388,
4032,24,-85.0672,178074.46,0.01831,88.25,0.046563,0.9362,
4200,25,-94.9415,192318.21,0.01559,84.75,0.039533,0.9335,
4368,26,-78.5319,167797.05,0.01545,83.25,0.032006,0.9308,
4536,27,-76.2132,167470.90,0.04134,94.00,0.043925,0.9282,
4704,28,-99.4358,193564.62,0.02592,88.00,0.045279,0.9255,
4872,29,-77.2196,168117.25,0.01076,81.25,0.032748,0.9229,
5000,29,,,,,,,-71.9961
5040,30,-97.8025,191524.17,0.01847,86.50,0.021697,0.9202,
5208,31,-97.1235,195383.56,0.03367,96.00,0.022638,0.9175,
5376,32,-78.5590,175312.58,0.01630,87.75,0.022548,0.9149,
5544,33,-83.3345,167914.17,0.04151,94.75,0.029763,0.9122,
5712,34,-76.9231,162856.98,0.02293,83.50,0.028791,0.9096,
5880,35,-75.3052,160822.80,0.03168,84.00,0.017320,0.9069,
6048,36,-95.5663,179203.29,0.03566,86.25,0.028345,0.9042,
6216,37,-75.3976,157677.40,0.02094,80.25,0.024519,0.9016,
6384,38,-95.8539,173573.62,0.03021,81.75,0.023965,0.8989,
6552,39,-80.5136,165894.56,0.02777,86.00,0.026153,0.8963,
6720,40,-89.5111,184305.20,0.01672,83.50,0.019931,0.8936,
6888,41,-77.7557,170285.21,0.01753,84.50,0.020438,0.8909,
7056,42,-76.7209,167116.86,0.02522,84.50,0.026225,0.8883,
7224,43,-79.4834,166783.99,0.03449,89.00,0.032272,0.8856,
7392,44,-76.2725,164211.66,0.01323,79.75,0.021184,0.8830,
7560,45,-99.9233,193668.98,0.01848,85.75,0.038574,0.8803,
7728,46,-77.0193,171532.94,0.02236,86.00,0.015031,0.8776,
7896,47,-76.2454,166117.66,0.01653,82.25,0.039720,0.8750,
8064,48,-80.2497,160017.73,0.02182,82.50,0.021859,0.8723,
8232,49,-76.4082,164392.94,0.03203,89.00,0.017847,0.8697,
8400,50,-75.6086,156480.64,0.03911,83.50,0.022314,0.8670,
