step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
168,1,-110.9445,183626.08,0.03521,85.25,0.331631,0.9973,
336,2,-87.9345,170408.43,0.02050,86.25,0.275627,0.9947,
504,3,-94.4678,186645.39,0.02596,90.25,0.107976,0.9920,
672,4,-116.2487,186487.94,0.02665,88.50,0.096595,0.9894,
840,5,-90.1640,189039.02,0.00886,90.25,0.089164,0.9867,
1008,6,-110.5151,202629.00,0.01555,89.50,0.098563,0.9840,
1176,7,-111.0789,203959.58,0.01913,90.50,0.034015,0.9814,
1344,8,-106.3512,191084.53,0.00990,83.50,0.099628,0.9787,
1512,9,-93.8305,181675.72,0.02495,90.75,0.044059,0.9761,
1680,10,-90.4985,177631.01,0.02891,87.75,0.021241,0.9734,
1848,11,-99.5448,192029.94,0.02578,91.00,0.049358,0.9707,
2016,12,-89.0251,177024.48,0.01119,86.25,0.059102,0.9681,
2184,13,-89.6383,175806.55,0.02366,88.25,0.027639,0.9654,
2352,14,-102.2367,192027.01,0.02909,89.75,0.037528,0.9628,
2520,15,-93.4230,180904.00,0.02681,89.75,0.014494,0.9601,
2688,16,-103.8350,195367.87,0.02394,90.75,0.078220,0.9574,
2856,17,-88.1682,167258.54,0.06558,98.50,0.056524,0.9548,
3024,18,-87.3343,169303.01,0.02983,89.25,0.045602,0.9521,
3192,19,-87.6947,167153.76,0.01682,83.75,0.047009,0.9495,
3360,20,-87.0786,168053.12,0.01787,83.50,0.094160,0.9468,
3528,21,-88.9276,177228.90,0.02665,88.50,0.045353,0.9441,
3696,22,-88.1224,174930.74,0.02015,88.75,0.025205,0.9415,
3864,23,-87.2554,173600.01,0.02732,87.75,0.012605,0.9388,
4032,24,-91.6401,178118.37,0.01880,88.25,0.046485,0.9362,
4200,25,-104.1654,192933.38,0.01474,84.75,0.039330,0.9335,
4368,26,-86.3531,168997.27,0.01484,83.75,0.030854,0.9308,
4536,27,-85.3519,167684.74,0.04147,94.00,0.046611,0.9282,
4704,28,-107.9962,193365.10,0.02606,89.00,0.047363,0.9255,
4872,29,-84.9405,169490.94,0.01397,82.25,0.030826,0.9229,
5000,29,,,,,,,-92.2727
5040,30,-108.0911,190209.80,0.01946,85.00,0.022172,0.9202,
5208,31,-105.6537,194393.61,0.03051,92.50,0.020714,0.9175,
5376,32,-86.6531,174628.57,0.02218,89.25,0.021685,0.9149,
5544,33,-92.0298,168113.34,0.03789,93.25,0.029488,0.9122,
5712,34,-87.0673,162390.86,0.02301,81.75,0.027284,0.9096,
5880,35,-84.4079,161359.07,0.03027,82.50,0.018303,0.9069,
6048,36,-106.4776,179334.93,0.03637,88.25,0.023916,0.9042,
6216,37,-82.2891,157723.08,0.02306,80.50,0.029663,0.9016,
6384,38,-105.7607,174447.76,0.03157,82.00,0.023470,0.8989,
6552,39,-91.4994,165396.36,0.02856,87.50,0.025788,0.8963,
6720,40,-97.2771,183690.97,0.02236,85.25,0.023562,0.8936,
6888,41,-85.5278,170679.22,0.01899,85.00,0.020773,0.8909,
7056,42,-87.4721,169052.57,0.03034,87.25,0.030056,0.8883,
7224,43,-90.6557,166807.82,0.03382,88.75,0.035456,0.8856,
7392,44,-85.0076,165703.25,0.01131,80.50,0.025238,0.8830,
7560,45,-108.5287,195303.40,0.01018,85.50,0.043376,0.8803,
7728,46,-85.5140,171615.18,0.02157,87.00,0.018203,0.8776,
7896,47,-84.6333,166387.13,0.01526,81.25,0.035229,0.8750,
8064,48,-87.5942,161219.64,0.02132,83.00,0.022709,0.8723,
8232,49,-84.8613,163493.84,0.03516,89.50,0.020501,0.8697,
8400,50,-84.9285,157677.84,0.03918,84.25,0.026990,0.8670,
8568,51,-84.8834,159243.37,0.04510,85.50,0.025153,0.8643,
8736,52,-111.2960,183383.92,0.04703,93.75,0.030854,0.8617,
8904,53,-108.4010,188765.17,0.02600,87.50,0.040293,0.8590,
9072,54,-81.8675,163292.35,0.01618,80.25,0.034200,0.8564,
9240,55,-83.8620,164634.31,0.02523,87.00,0.034484,0.8537,
