step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
168,1,-104.8681,183626.08,0.03521,85.25,0.364791,0.9973,
336,2,-81.6165,170408.43,0.02050,86.25,0.293685,0.9947,
504,3,-87.6535,185898.97,0.02636,90.00,0.086378,0.9920,
672,4,-110.3565,186592.20,0.02666,88.50,0.108648,0.9894,
840,5,-85.0106,188344.42,0.00895,89.50,0.066099,0.9867,
1008,6,-104.1410,202507.88,0.01522,89.25,0.079007,0.9840,
1176,7,-105.2752,203650.82,0.01813,90.50,0.025808,0.9814,
1344,8,-100.0571,191060.38,0.01120,83.75,0.083664,0.9787,
1512,9,-87.2752,181675.72,0.02495,90.75,0.033696,0.9761,
1680,10,-84.4822,177081.56,0.03102,87.75,0.025960,0.9734,
1848,11,-94.2956,190871.57,0.02103,88.75,0.048281,0.9707,
2016,12,-82.8861,176276.72,0.00985,86.25,0.057790,0.9681,
2184,13,-83.3318,175075.41,0.02324,87.75,0.024919,0.9654,
2352,14,-96.2183,192115.02,0.03054,90.50,0.034158,0.9628,
2520,15,-87.6713,180886.14,0.02602,90.00,0.014502,0.9601,
2688,16,-98.2251,194805.08,0.02518,91.25,0.074636,0.9574,
2856,17,-80.4688,167784.00,0.06410,98.25,0.052658,0.9548,
3024,18,-81.5309,169139.53,0.03117,89.25,0.038081,0.9521,
3192,19,-82.3937,166129.60,0.01881,83.75,0.045512,0.9495,
3360,20,-80.7457,167478.38,0.02065,84.00,0.082502,0.9468,
3528,21,-83.8921,177291.83,0.02681,88.50,0.033218,0.9441,
3696,22,-82.7243,175136.85,0.02234,89.00,0.018665,0.9415,
3864,23,-82.4255,173138.47,0.02742,88.00,0.012000,0.9388,
4032,24,-87.5870,177128.42,0.01698,86.75,0.044893,0.9362,
4200,25,-98.0026,191671.39,0.01941,84.75,0.041855,0.9335,
4368,26,-81.2372,167999.72,0.01637,83.25,0.032778,0.9308,
4536,27,-79.3383,167418.46,0.04163,94.00,0.043077,0.9282,
4704,28,-102.7892,195511.71,0.02929,89.00,0.045023,0.9255,
4872,29,-80.1550,168458.19,0.01149,82.00,0.028868,0.9229,
5000,29,,,,,,,-77.5562
5040,30,-101.5591,190818.77,0.02061,87.25,0.024008,0.9202,
5208,31,-100.5898,195102.37,0.03394,93.75,0.020787,0.9175,
5376,32,-81.1237,174557.53,0.01900,88.50,0.023813,0.9149,
5544,33,-86.1320,168648.24,0.04058,95.00,0.033111,0.9122,
5712,34,-79.9940,161583.35,0.02496,82.50,0.027757,0.9096,
5880,35,-79.0864,160487.34,0.02832,81.00,0.015569,0.9069,
6048,36,-98.2913,181513.37,0.03729,88.50,0.020300,0.9042,
6216,37,-76.9257,157998.33,0.02161,81.50,0.023925,0.9016,
6384,38,-100.0180,173134.74,0.02819,82.50,0.027455,0.8989,
6552,39,-84.7632,165288.48,0.02923,87.75,0.021787,0.8963,
6720,40,-91.8252,182550.65,0.02075,84.75,0.015892,0.8936,
6888,41,-79.7642,169684.23,0.01670,83.25,0.019154,0.8909,
7056,42,-80.4955,167552.48,0.02501,84.25,0.022466,0.8883,
