step,episode,episode_return,episode_wue,loss,epsilon,eval_return
168,1,-104.8681,183626.08,0.044379,0.9973,
336,2,-81.5058,171507.08,0.015063,0.9947,
504,3,-87.1532,186087.65,0.016098,0.9920,
672,4,-110.4400,186846.71,0.011730,0.9894,
840,5,-85.1141,188654.24,0.022033,0.9867,
1008,6,-102.9173,203270.68,0.011314,0.9840,
1176,7,-105.0154,203576.08,0.009849,0.9814,
1344,8,-100.5754,190698.95,0.016425,0.9787,
1512,9,-87.3536,181742.33,0.011958,0.9761,
1680,10,-83.9732,176483.02,0.011113,0.9734,
1848,11,-94.2731,193499.38,0.042214,0.9707,
2016,12,-82.7602,175806.81,0.017999,0.9681,
2184,13,-83.6851,175242.36,0.011427,0.9654,
2352,14,-96.5604,192985.39,0.023191,0.9628,
2520,15,-87.7161,181174.20,0.009399,0.9601,
2688,16,-96.7653,195285.65,0.019883,0.9574,
2856,17,-80.8594,167868.29,0.017792,0.9548,
3024,18,-82.0297,169871.54,0.036002,0.9521,
3192,19,-82.0700,169051.58,0.017282,0.9495,
3360,20,-80.7899,168562.30,0.028823,0.9468,
3528,21,-83.0731,176567.96,0.015487,0.9441,
3696,22,-83.1008,176337.69,0.012771,0.9415,
3864,23,-82.1524,171590.77,0.013015,0.9388,
4032,24,-86.9780,175969.11,0.029264,0.9362,
4200,25,-97.7865,192357.22,0.029569,0.9335,
4368,26,-81.1672,168720.40,0.023432,0.9308,
4536,27,-79.2622,167551.94,0.025592,0.9282,
4704,28,-102.4043,193337.41,0.030754,0.9255,
4872,29,-79.5047,167437.75,0.024747,0.9229,
5000,29,,,,,-76.3893
5040,30,-101.2962,190845.14,0.016857,0.9202,
5208,31,-98.4681,197102.21,0.014950,0.9175,
5376,32,-81.7688,174932.74,0.029157,0.9149,
5544,33,-85.6122,170943.84,0.023552,0.9122,
5712,34,-80.1241,162470.87,0.023844,0.9096,
5880,35,-78.3619,161340.82,0.037871,0.9069,
6048,36,-98.8369,184577.62,0.015059,0.9042,
6216,37,-77.2782,159062.20,0.025568,0.9016,
6384,38,-99.4718,175116.81,0.012172,0.8989,
6552,39,-83.6155,165870.24,0.018678,0.8963,
6720,40,-91.2052,187246.01,0.022999,0.8936,
6888,41,-81.6109,172714.04,0.031126,0.8909,
7056,42,-80.3299,169768.46,0.024427,0.8883,
7224,43,-83.7397,168301.91,0.033816,0.8856,
7392,44,-80.2625,165955.52,0.021015,0.8830,
7560,45,-103.1296,191950.80,0.034723,0.8803,
7728,46,-79.5673,170767.42,0.040053,0.8776,
7896,47,-79.0489,167782.44,0.016285,0.8750,
8064,48,-82.4693,163734.01,0.043014,0.8723,
8232,49,-79.8946,165922.36,0.049087,0.8697,
8400,50,-78.1670,156760.46,0.027178,0.8670,
8568,51,-79.7206,160753.48,0.027495,0.8643,
8736,52,-103.8423,187351.51,0.054338,0.8617,
8904,53,-100.9005,190423.73,0.115543,0.8590,
9072,54,-77.6331,165357.73,0.022341,0.8564,
9240,55,-79.4541,166133.55,0.022319,0.8537,
9408,56,-102.0289,193944.41,0.029271,0.8510,
9576,57,-79.1477,163029.50,0.057710,0.8484,
9744,58,-101.8180,185499.95,0.027737,0.8457,
9912,59,-77.9265,163945.39,0.036087,0.8431,
10000,59,,,,,-71.6827
10080,60,-73.6850,152650.37,0.022451,0.8404,
10248,61,-75.9448,156395.41,0.028503,0.8377,
10416,62,-75.3143,152816.40,0.025165,0.8351,
10584,63,-78.7665,170353.07,0.035178,0.8324,
10752,64,-78.6362,163893.30,0.024871,0.8298,
10920,65,-78.6823,159528.65,0.068000,0.8271,
11088,66,-98.5151,192023.96,0.126189,0.8244,
11256,67,-103.5804,200625.60,0.019750,0.8218,
11424,68,-80.0927,164840.56,0.024763,0.8191,
11592,69,-75.2150,157427.31,0.029144,0.8165,
11760,70,-76.5903,162120.40,0.078163,0.8138,
11928,71,-87.2914,159581.25,0.029497,0.8111,
12096,72,-81.3901,162381.44,0.026606,0.8085,
12264,73,-98.9352,189416.93,0.028713,0.8058,
12432,74,-76.8899,160734.96,0.034029,0.8032,
12600,75,-80.2726,161792.86,0.035197,0.8005,
12768,76,-94.9083,189214.08,0.024838,0.7978,
