step,episode,episode_return,episode_wue,loss,epsilon,eval_return
168,1,-104.8681,183626.08,0.423741,0.9973,
336,2,-81.7630,170985.79,0.157079,0.9947,
504,3,-87.7764,186579.24,0.102349,0.9920,
672,4,-110.2159,186311.22,0.043087,0.9894,
840,5,-85.4933,189389.70,0.043919,0.9867,
1008,6,-103.4952,203856.14,0.030085,0.9840,
1176,7,-104.7531,203583.75,0.013679,0.9814,
1344,8,-100.6405,190270.35,0.035788,0.9787,
1512,9,-87.3433,181920.22,0.017023,0.9761,
1680,10,-84.5999,178038.49,0.012664,0.9734,
1848,11,-94.5393,193601.52,0.044013,0.9707,
2016,12,-83.0603,176554.42,0.024033,0.9681,
2184,13,-83.2640,176757.77,0.010479,0.9654,
2352,14,-96.8919,192587.49,0.022279,0.9628,
2520,15,-88.2517,180992.17,0.017066,0.9601,
2688,16,-97.7770,196290.20,0.027616,0.9574,
2856,17,-79.8221,166644.17,0.018190,0.9548,
3024,18,-81.5520,169290.77,0.037457,0.9521,
3192,19,-82.5181,167137.71,0.011896,0.9495,
3360,20,-81.1151,168657.39,0.022962,0.9468,
3528,21,-83.1100,176956.03,0.015948,0.9441,
3696,22,-82.8865,175103.75,0.030151,0.9415,
3864,23,-82.4787,172018.98,0.012249,0.9388,
4032,24,-87.7728,175990.00,0.017033,0.9362,
4200,25,-98.1000,193385.49,0.015733,0.9335,
4368,26,-80.9747,169199.12,0.015757,0.9308,
4536,27,-79.1919,167844.64,0.017822,0.9282,
4704,28,-102.7032,192983.55,0.015285,0.9255,
4872,29,-78.3221,167338.28,0.018856,0.9229,
5000,29,,,,,-76.3534
5040,30,-101.3748,189823.52,0.017373,0.9202,
5208,31,-98.0829,195545.59,0.013335,0.9175,
5376,32,-82.1956,173796.36,0.013104,0.9149,
5544,33,-86.5846,168656.15,0.029147,0.9122,
5712,34,-79.6705,164399.92,0.026392,0.9096,
5880,35,-79.0056,161398.28,0.019646,0.9069,
6048,36,-99.6336,179147.65,0.022868,0.9042,
6216,37,-77.3300,157511.69,0.023059,0.9016,
6384,38,-98.8419,172083.06,0.023377,0.8989,
6552,39,-85.5516,165948.93,0.019862,0.8963,
6720,40,-90.9552,183794.64,0.024381,0.8936,
6888,41,-80.8598,169176.04,0.017538,0.8909,
7056,42,-80.1812,169272.93,0.026652,0.8883,
7224,43,-82.9769,167059.11,0.040372,0.8856,
7392,44,-79.8637,166047.23,0.022933,0.8830,
7560,45,-103.3251,193992.45,0.040576,0.8803,
7728,46,-80.3064,171073.19,0.018290,0.8776,
7896,47,-79.0994,165373.44,0.026129,0.8750,
8064,48,-81.9993,160160.76,0.023046,0.8723,
8232,49,-79.4758,164436.96,0.017048,0.8697,
8400,50,-77.9096,157086.32,0.019563,0.8670,
8568,51,-77.9617,160944.91,0.021620,0.8643,
8736,52,-104.2411,185386.89,0.024852,0.8617,
8904,53,-101.3217,187999.13,0.026769,0.8590,
9072,54,-76.9373,163324.34,0.024559,0.8564,
9240,55,-80.2050,166475.05,0.030618,0.8537,
9408,56,-101.8694,189172.63,0.027463,0.8510,
9576,57,-78.1188,162068.59,0.018067,0.8484,
9744,58,-101.8957,186575.52,0.030634,0.8457,
9912,59,-77.4578,161615.02,0.026568,0.8431,
10000,59,,,,,-78.4464
10080,60,-73.3302,151612.13,0.027372,0.8404,
10248,61,-76.0836,154453.67,0.023366,0.8377,
10416,62,-75.1417,152269.24,0.032306,0.8351,
10584,63,-78.2369,167152.32,0.034601,0.8324,
10752,64,-77.9020,160454.48,0.024380,0.8298,
10920,65,-78.4971,156514.41,0.022957,0.8271,
11088,66,-101.8403,188741.65,0.040038,0.8244,
11256,67,-101.9966,198920.06,0.033111,0.8218,
11424,68,-78.1486,163734.02,0.026542,0.8191,
11592,69,-75.3967,158188.67,0.030160,0.8165,
11760,70,-74.9138,157252.99,0.032912,0.8138,
11928,71,-90.0478,159830.63,0.035699,0.8111,
12096,72,-83.0045,160355.54,0.022518,0.8085,
12264,73,-101.2822,189914.40,0.035697,0.8058,
12432,74,-74.5248,157385.99,0.049124,0.8032,
12600,75,-79.6182,155069.48,0.038816,0.8005,
12768,76,-95.8879,187129.51,0.024704,0.7978,
12936,77,-78.1513,160088.41,0.042965,0.7952,
13104,78,-77.3766,163682.18,0.026514,0.7925,
13272,79,-74.0616,150055.97,0.025753,0.7899,
13440,80,-76.2962,161695.62,0.032884,0.7872,
13608,81,-80.3030,156885.31,0.034919,0.7845,
13776,82,-98.0928,184776.80,0.057846,0.7819,
13944,83,-82.2511,162687.71,0.040627,0.7792,
14112,84,-76.9698,159462.41,0.031783,0.7766,
14280,85,-73.6915,151560.41,0.034341,0.7739,
14448,86,-73.5043,149074.05,0.042100,0.7712,
14616,87,-77.6007,158177.11,0.039022,0.7686,
14784,88,-72.0951,144708.54,0.042890,0.7659,
14952,89,-77.5450,161832.45,0.025033,0.7633,
15000,89,,,,,-80.2170
15120,90,-75.5578,152198.55,0.048508,0.7606,
15288,91,-79.6659,148910.37,0.029290,0.7579,
15456,92,-74.2370,147303.47,0.045322,0.7553,
15624,93,-73.7578,147583.63,0.024399,0.7526,
15792,94,-75.5680,150953.04,0.023838,0.7500,
15960,95,-95.8044,181885.06,0.043262,0.7473,
16128,96,-71.8691,150077.68,0.039148,0.7446,
16296,97,-72.6767,147215.08,0.060456,0.7420,
16464,98,-72.9785,153670.99,0.033912,0.7393,
16632,99,-75.4682,142747.02,0.036611,0.7367,
16800,100,-72.9072,141099.80,0.069750,0.7340,
16968,101,-94.5251,179906.39,0.031706,0.7313,
17136,102,-94.7359,179446.49,0.028661,0.7287,
17304,103,-75.6045,153668.71,0.057752,0.7260,
17472,104,-73.8618,141946.13,0.056497,0.7234,
17640,105,-79.8458,155264.92,0.035793,0.7207,
17808,106,-97.4997,179488.21,0.049823,0.7180,
17976,107,-94.2183,177938.02,0.053525,0.7154,
18144,108,-74.5150,147303.88,0.062878,0.7127,
18312,109,-73.2804,137290.70,0.028225,0.7101,
18480,110,-75.1069,147243.72,0.035830,0.7074,
18648,111,-76.5895,156412.39,0.038358,0.7047,
18816,112,-73.2535,135287.00,0.043990,0.7021,
18984,113,-74.4627,146830.93,0.034746,0.6994,
19152,114,-93.8651,186341.46,0.046456,0.6968,
19320,115,-95.1214,187674.58,0.037747,0.6941,
19488,116,-102.5588,183334.53,0.029690,0.6914,
19656,117,-71.2720,140673.16,0.048811,0.6888,
19824,118,-80.6699,149287.12,0.082125,0.6861,
19992,119,-95.8168,175716.86,0.063087,0.6835,
20000,119,,,,,-75.4041
20160,120,-96.7901,184878.21,0.053071,0.6808,
20328,121,-70.9761,142020.32,0.030629,0.6781,
20496,122,-72.5063,139270.98,0.071346,0.6755,
20664,123,-76.1614,149828.49,0.043128,0.6728,
20832,124,-69.5474,130551.84,0.051226,0.6702,
21000,125,-98.2362,180190.25,0.038466,0.6675,
21168,126,-71.7408,146498.96,0.058976,0.6648,
21336,127,-70.9687,134454.98,0.053595,0.6622,
21504,128,-77.9829,150034.13,0.060628,0.6595,
21672,129,-71.4335,137138.44,0.045427,0.6569,
21840,130,-74.6173,151108.14,0.077221,0.6542,
22008,131,-72.4858,139520.60,0.042251,0.6515,
22176,132,-73.0377,131348.23,0.043343,0.6489,
22344,133,-70.2296,131290.15,0.059443,0.6462,
22512,134,-71.1775,134370.02,0.064590,0.6436,
22680,135,-78.1466,156090.06,0.046889,0.6409,
22848,136,-68.4519,134372.00,0.052390,0.6382,
