step,episode,episode_return,episode_wue,loss,epsilon,eval_return
168,1,-104.8681,183626.08,0.704034,0.9973,
336,2,-82.2280,172588.69,0.193279,0.9947,
504,3,-87.3512,187281.78,0.072782,0.9920,
672,4,-110.3811,186250.91,0.088589,0.9894,
840,5,-85.2144,188823.59,0.039031,0.9867,
1008,6,-104.7644,203264.88,0.041103,0.9840,
1176,7,-105.3091,203835.27,0.015177,0.9814,
1344,8,-99.9832,191102.26,0.033721,0.9787,
1512,9,-87.4289,182109.41,0.015900,0.9761,
1680,10,-84.4208,178582.05,0.008885,0.9734,
1848,11,-94.0955,192648.85,0.042062,0.9707,
2016,12,-83.3860,177304.41,0.021227,0.9681,
2184,13,-83.4558,175648.17,0.007521,0.9654,
2352,14,-96.9651,194062.48,0.017656,0.9628,
2520,15,-87.9947,181450.50,0.008421,0.9601,
2688,16,-97.8221,195323.81,0.022831,0.9574,
2856,17,-80.2471,167586.15,0.014552,0.9548,
3024,18,-82.1726,170081.14,0.039373,0.9521,
3192,19,-82.0046,167502.24,0.014572,0.9495,
3360,20,-81.4272,169140.13,0.024118,0.9468,
3528,21,-83.5119,178164.62,0.020020,0.9441,
3696,22,-83.2383,175787.90,0.008318,0.9415,
3864,23,-81.9729,173066.46,0.014595,0.9388,
4032,24,-87.4536,176139.76,0.019310,0.9362,
4200,25,-98.8620,192676.56,0.018150,0.9335,
4368,26,-81.1911,169264.21,0.013508,0.9308,
4536,27,-79.1444,167483.72,0.016105,0.9282,
4704,28,-102.4926,193515.48,0.020725,0.9255,
4872,29,-79.6726,169647.27,0.018024,0.9229,
5040,30,-99.5814,182672.88,0.021907,0.9202,
5208,31,-101.1160,182353.09,0.021785,0.9175,
5376,32,-81.5285,171018.52,0.024960,0.9149,
5544,33,-81.0427,164927.16,0.021770,0.9122,
5712,34,-79.5892,167886.62,0.029610,0.9096,
5880,35,-77.6881,161207.70,0.017051,0.9069,
6048,36,-99.1278,189199.36,0.026292,0.9042,
6216,37,-79.1863,164428.21,0.032658,0.9016,
