step,episode,episode_return,episode_wue,loss,epsilon,eval_return
168,1,-98.7917,183626.08,0.575005,0.9973,
336,2,-75.5073,171480.26,0.223240,0.9947,
504,3,-80.8408,186230.51,0.156316,0.9920,
672,4,-104.4604,186715.98,0.102476,0.9894,
840,5,-81.1657,190515.47,0.054300,0.9867,
1008,6,-98.0582,202660.21,0.034793,0.9840,
1176,7,-100.0654,203762.71,0.024373,0.9814,
1344,8,-95.1830,190892.57,0.040169,0.9787,
1512,9,-80.9106,182110.77,0.017377,0.9761,
1680,10,-77.8728,176896.83,0.009708,0.9734,
1848,11,-89.1678,192468.52,0.038779,0.9707,
2016,12,-77.2400,175794.00,0.019232,0.9681,
2184,13,-76.8110,175419.29,0.013010,0.9654,
2352,14,-91.3967,192776.21,0.018480,0.9628,
2520,15,-82.0445,180894.54,0.007451,0.9601,
2688,16,-91.7661,195273.98,0.013228,0.9574,
2856,17,-72.6193,167573.88,0.011289,0.9548,
3024,18,-76.3560,170181.78,0.025641,0.9521,
3192,19,-76.8415,168245.09,0.011025,0.9495,
3360,20,-75.0804,167918.28,0.012171,0.9468,
3528,21,-78.2933,177037.40,0.008420,0.9441,
3696,22,-77.0029,175848.65,0.007460,0.9415,
3864,23,-76.7338,173559.53,0.007430,0.9388,
4032,24,-82.4908,175990.38,0.011079,0.9362,
4200,25,-92.9490,192207.89,0.016343,0.9335,
4368,26,-75.4473,168894.45,0.012412,0.9308,
4536,27,-73.4832,168899.23,0.012271,0.9282,
4704,28,-96.6438,192725.46,0.010859,0.9255,
4872,29,-73.7351,167972.72,0.016255,0.9229,
5040,30,-92.9324,183480.20,0.013460,0.9202,
5208,31,-95.7999,181815.86,0.014615,0.9175,
5376,32,-75.1325,170448.79,0.019509,0.9149,
5544,33,-75.8783,165159.62,0.016828,0.9122,
5712,34,-73.7876,166978.84,0.027432,0.9096,
5880,35,-71.8985,161526.29,0.013898,0.9069,
6048,36,-94.9700,188484.40,0.016473,0.9042,
6216,37,-73.7933,165012.89,0.018556,0.9016,
6384,38,-98.0649,185755.56,0.012472,0.8989,
6552,39,-80.4702,166670.93,0.014014,0.8963,
6720,40,-92.0015,179399.23,0.027486,0.8936,
6888,41,-76.0002,163992.04,0.019572,0.8909,
7056,42,-75.6301,173856.20,0.019860,0.8883,
7224,43,-71.1658,157578.61,0.018558,0.8856,
7392,44,-71.6204,162070.69,0.018787,0.8830,
7560,45,-94.7537,190559.35,0.017529,0.8803,
7728,46,-73.6628,166736.91,0.024971,0.8776,
7896,47,-74.3237,175115.82,0.024915,0.8750,
8064,48,-75.1644,172351.30,0.023040,0.8723,
8232,49,-73.9158,169010.34,0.015214,0.8697,
8400,50,-74.0500,163969.20,0.025051,0.8670,
8568,51,-71.1349,156155.11,0.024131,0.8643,
8736,52,-92.3233,188644.18,0.022875,0.8617,
8904,53,-95.9705,185279.73,0.028253,0.8590,
9072,54,-73.9453,158539.67,0.053675,0.8564,
9240,55,-73.5049,165871.35,0.032093,0.8537,
9408,56,-99.1134,193889.99,0.027222,0.8510,
9576,57,-73.5211,167230.50,0.023141,0.8484,
9744,58,-95.5053,183548.97,0.025172,0.8457,
9912,59,-76.8144,174378.25,0.026175,0.8431,
10000,59,,,,,-59.5131
10080,60,-72.9957,167448.41,0.041750,0.8404,
10248,61,-71.3477,158417.37,0.028266,0.8377,
10416,62,-73.2696,169266.91,0.017106,0.8351,
10584,63,-70.3805,159512.18,0.030012,0.8324,
10752,64,-71.0453,157392.97,0.034266,0.8298,
10920,65,-72.1719,166699.98,0.036164,0.8271,
