step,episode,episode_return,episode_wue,loss,epsilon,eval_return
168,1,-104.8681,183626.08,0.141613,0.9973,
336,2,-81.7268,170751.33,0.054978,0.9947,
504,3,-86.9206,185795.45,0.026267,0.9920,
672,4,-110.3967,186689.81,0.028342,0.9894,
840,5,-85.2107,188610.78,0.026429,0.9867,
1008,6,-102.9619,203573.35,0.016220,0.9840,
1176,7,-104.8346,203454.51,0.012826,0.9814,
1344,8,-99.8150,190269.49,0.020965,0.9787,
1512,9,-87.3120,182087.82,0.010938,0.9761,
1680,10,-84.0982,177036.24,0.011468,0.9734,
1848,11,-93.6677,192464.28,0.037319,0.9707,
2016,12,-83.3621,177001.46,0.011333,0.9681,
2184,13,-84.0841,174575.94,0.007645,0.9654,
2352,14,-96.1860,192917.97,0.015786,0.9628,
2520,15,-87.8537,181058.60,0.007661,0.9601,
2688,16,-97.5283,196377.03,0.016858,0.9574,
2856,17,-80.6349,167821.98,0.009688,0.9548,
3024,18,-81.7672,169683.96,0.032755,0.9521,
3192,19,-82.9939,168123.10,0.009172,0.9495,
3360,20,-80.8565,168103.58,0.013428,0.9468,
3528,21,-83.4710,176423.31,0.015577,0.9441,
3696,22,-83.0528,175608.86,0.016590,0.9415,
3864,23,-81.6674,170826.85,0.017277,0.9388,
4032,24,-86.9585,177329.78,0.014841,0.9362,
4200,25,-98.8105,191684.99,0.015718,0.9335,
4368,26,-81.4631,167591.28,0.011000,0.9308,
4536,27,-79.2960,167783.01,0.013149,0.9282,
4704,28,-102.7060,194389.66,0.015082,0.9255,
4872,29,-79.3915,168542.61,0.019660,0.9229,
5000,29,,,,,-70.7894
5040,30,-101.1596,190867.88,0.014604,0.9202,
5208,31,-99.9477,196265.23,0.017636,0.9175,
5376,32,-81.4746,172992.54,0.018433,0.9149,
5544,33,-86.2895,169395.29,0.027612,0.9122,
5712,34,-80.8751,163253.46,0.025749,0.9096,
5880,35,-78.8889,161388.92,0.020649,0.9069,
6048,36,-98.2429,181307.21,0.025625,0.9042,
6216,37,-77.4338,157386.92,0.024327,0.9016,
6384,38,-99.7513,176216.41,0.024288,0.8989,
6552,39,-83.6435,166414.29,0.020198,0.8963,
6720,40,-92.1476,184725.16,0.028294,0.8936,
6888,41,-80.2093,170784.84,0.027714,0.8909,
7056,42,-80.5572,168152.55,0.031967,0.8883,
7224,43,-83.4481,167503.75,0.040400,0.8856,
7392,44,-80.4602,165693.31,0.016885,0.8830,
7560,45,-103.0465,194086.48,0.034959,0.8803,
7728,46,-79.1696,169808.14,0.022391,0.8776,
7896,47,-78.1653,166217.31,0.026646,0.8750,
8064,48,-83.5060,162281.50,0.025014,0.8723,
8232,49,-80.1119,166995.64,0.025719,0.8697,
8400,50,-77.6846,156344.76,0.023647,0.8670,
8568,51,-77.6314,159519.63,0.029624,0.8643,
8736,52,-103.4356,183462.66,0.026989,0.8617,
8904,53,-99.8731,192045.49,0.028170,0.8590,
9072,54,-78.3128,164226.03,0.033443,0.8564,
9240,55,-78.9439,166131.43,0.038616,0.8537,
9408,56,-101.4347,192550.35,0.033145,0.8510,
9576,57,-78.2520,161293.30,0.032016,0.8484,
9744,58,-102.2432,189472.66,0.038862,0.8457,
9912,59,-76.9990,162145.70,0.029783,0.8431,
10000,59,,,,,-71.6989
10080,60,-73.0183,150411.61,0.027171,0.8404,
10248,61,-76.1232,155434.25,0.023589,0.8377,
10416,62,-75.9224,151766.84,0.035175,0.8351,
10584,63,-77.8124,165413.34,0.046737,0.8324,
10752,64,-78.1759,160959.14,0.033393,0.8298,
10920,65,-78.2645,157137.49,0.031460,0.8271,
11088,66,-98.9778,191123.16,0.044495,0.8244,
11256,67,-102.4921,201012.16,0.032910,0.8218,
11424,68,-79.0274,166510.42,0.026969,0.8191,
11592,69,-75.2344,158305.37,0.037051,0.8165,
11760,70,-76.1336,157945.11,0.044562,0.8138,
11928,71,-88.2166,160542.49,0.041334,0.8111,
12096,72,-81.6640,160439.22,0.039768,0.8085,
12264,73,-102.7050,188860.57,0.037719,0.8058,
12432,74,-74.8713,156264.81,0.061394,0.8032,
12600,75,-79.7673,154764.00,0.042086,0.8005,
12768,76,-93.8583,186984.32,0.034547,0.7978,
12936,77,-77.8498,161452.71,0.040521,0.7952,
13104,78,-77.6123,161320.76,0.042081,0.7925,
13272,79,-73.9776,148537.70,0.030572,0.7899,
13440,80,-76.2356,160898.86,0.040519,0.7872,
13608,81,-81.3303,161518.53,0.048109,0.7845,
13776,82,-98.8303,189337.60,0.069752,0.7819,
13944,83,-82.7399,162521.46,0.040995,0.7792,
14112,84,-77.7326,159248.05,0.033697,0.7766,
14280,85,-73.1255,146623.00,0.046210,0.7739,
14448,86,-73.5713,149321.38,0.041499,0.7712,
14616,87,-77.3095,157484.35,0.041999,0.7686,
14784,88,-73.0684,144428.87,0.023827,0.7659,
14952,89,-78.1125,162406.60,0.043030,0.7633,
15000,89,,,,,-79.3878
15120,90,-76.1339,154709.49,0.052671,0.7606,
15288,91,-80.7252,152128.58,0.042297,0.7579,
15456,92,-74.3288,150781.18,0.043171,0.7553,
15624,93,-75.1693,148677.52,0.037876,0.7526,
15792,94,-75.0715,151317.41,0.030277,0.7500,
15960,95,-95.0699,187335.97,0.042995,0.7473,
16128,96,-73.9411,153779.30,0.037357,0.7446,
16296,97,-73.4709,148493.28,0.071370,0.7420,
16464,98,-74.7810,156856.42,0.044830,0.7393,
16632,99,-74.7801,145132.14,0.041386,0.7367,
16800,100,-74.8120,143783.01,0.074255,0.7340,
16968,101,-94.2661,185107.91,0.033118,0.7313,
17136,102,-96.2809,184199.94,0.038282,0.7287,
17304,103,-77.0145,152808.65,0.039352,0.7260,
17472,104,-74.5579,142693.35,0.066939,0.7234,
17640,105,-81.8901,159825.94,0.043484,0.7207,
17808,106,-97.6548,181331.92,0.050730,0.7180,
17976,107,-94.3956,175321.38,0.039567,0.7154,
18144,108,-75.0867,148193.69,0.038930,0.7127,
18312,109,-72.1061,137410.62,0.034151,0.7101,
18480,110,-76.5769,151287.19,0.035863,0.7074,
18648,111,-76.7826,158409.92,0.031433,0.7047,
18816,112,-74.6804,135538.81,0.053783,0.7021,
18984,113,-75.2200,151617.50,0.036322,0.6994,
19152,114,-93.6832,189479.85,0.038750,0.6968,
19320,115,-95.8768,180846.24,0.033049,0.6941,
19488,116,-101.4520,186764.23,0.029108,0.6914,
19656,117,-71.4418,138651.98,0.048686,0.6888,
19824,118,-79.6481,150851.08,0.070827,0.6861,
19992,119,-94.8082,177188.71,0.064317,0.6835,
20000,119,,,,,-70.0418
